sink_id,file,line,enclosing_function,backend,channel,command,input_unit,range,clamp,owner_required,source_scope,failure_behavior,callers,evidence
S001,modules\aircraft_adapter.py,180,set_heading,control,set_heading_hold,set_heading_hold,,,,,,try/except logged,,STATIC_CONFIRMED
S002,modules\aircraft_adapter.py,233,set_altitude,control,set_altitude_hold,set_altitude_hold,,,,,,try/except logged,,STATIC_CONFIRMED
S003,modules\aircraft_adapter.py,284,set_vertical_speed,control,set_vertical_speed,set_vertical_speed,,,,,,try/except logged,,STATIC_CONFIRMED
S004,modules\aircraft_adapter.py,290,set_vertical_speed,control,set_vertical_speed,set_vertical_speed,,,,,,try/except logged,,STATIC_CONFIRMED
S005,modules\aircraft_adapter.py,342,engage_approach_mode,control,set_approach_hold,set_approach_hold,,,,,,try/except logged,,STATIC_CONFIRMED
S006,modules\aircraft_adapter.py,390,engage_nav_mode,control,set_nav_hold,set_nav_hold,,,,,,try/except logged,,STATIC_CONFIRMED
S007,modules\aircraft_adapter.py,433,engage_autopilot,control,set_autopilot_master,set_autopilot_master,,,,,,try/except logged,,STATIC_CONFIRMED
S008,modules\aircraft_adapter.py,440,engage_autopilot,control,set_autopilot_master,set_autopilot_master,,,,,,try/except logged,,STATIC_CONFIRMED
S009,modules\aircraft_adapter.py,485,disengage_autopilot,control,set_autopilot_master,set_autopilot_master,,,,,,try/except logged,,STATIC_CONFIRMED
S010,modules\aircraft_adapter.py,492,disengage_autopilot,control,set_autopilot_master,set_autopilot_master,,,,,,try/except logged,,STATIC_CONFIRMED
S011,modules\aircraft_adapter.py,552,set_speed,control,set_airspeed_hold,set_airspeed_hold,,,,,,try/except logged,,STATIC_CONFIRMED
S012,modules\aircraft_adapter.py,604,engage_autothrottle,control,set_autothrottle,set_autothrottle,,,,,,try/except logged,,STATIC_CONFIRMED
S013,modules\aircraft_adapter.py,570,set_speed,control,set_airspeed_hold,set_airspeed_hold,,,,,,try/except logged,,STATIC_CONFIRMED
S014,modules\aircraft_adapter.py,197,set_heading,control,set_heading_hold,set_heading_hold,,,,,,try/except logged,,STATIC_CONFIRMED
S015,modules\aircraft_adapter.py,203,set_heading,control,set_heading_hold,set_heading_hold,,,,,,try/except logged,,STATIC_CONFIRMED
S016,modules\aircraft_adapter.py,249,set_altitude,control,set_altitude_hold,set_altitude_hold,,,,,,try/except logged,,STATIC_CONFIRMED
S017,modules\aircraft_adapter.py,254,set_altitude,control,set_altitude_hold,set_altitude_hold,,,,,,try/except logged,,STATIC_CONFIRMED
S018,modules\aircraft_adapter.py,305,set_vertical_speed,control,set_vertical_speed,set_vertical_speed,,,,,,try/except logged,,STATIC_CONFIRMED
S019,modules\aircraft_adapter.py,310,set_vertical_speed,control,set_vertical_speed,set_vertical_speed,,,,,,try/except logged,,STATIC_CONFIRMED
S020,modules\aircraft_adapter.py,353,engage_approach_mode,control,set_approach_hold,set_approach_hold,,,,,,try/except logged,,STATIC_CONFIRMED
S021,modules\aircraft_adapter.py,358,engage_approach_mode,control,set_approach_hold,set_approach_hold,,,,,,try/except logged,,STATIC_CONFIRMED
S022,modules\aircraft_adapter.py,401,engage_nav_mode,control,set_nav_hold,set_nav_hold,,,,,,try/except logged,,STATIC_CONFIRMED
S023,modules\aircraft_adapter.py,406,engage_nav_mode,control,set_nav_hold,set_nav_hold,,,,,,try/except logged,,STATIC_CONFIRMED
S024,modules\aircraft_adapter.py,450,engage_autopilot,control,set_autopilot_master,set_autopilot_master,,,,,,try/except logged,,STATIC_CONFIRMED
S025,modules\aircraft_adapter.py,463,engage_autopilot,control,set_autopilot_master,set_autopilot_master,,,,,,try/except logged,,STATIC_CONFIRMED
S026,modules\aircraft_adapter.py,502,disengage_autopilot,control,set_autopilot_master,set_autopilot_master,,,,,,try/except logged,,STATIC_CONFIRMED
S027,modules\aircraft_adapter.py,515,disengage_autopilot,control,set_autopilot_master,set_autopilot_master,,,,,,try/except logged,,STATIC_CONFIRMED
S028,modules\aircraft_adapter.py,566,set_speed,control,set_airspeed_hold,set_airspeed_hold,,,,,,try/except logged,,STATIC_CONFIRMED
S029,modules\aircraft_adapter.py,614,engage_autothrottle,control,set_autothrottle,set_autothrottle,,,,,,try/except logged,,STATIC_CONFIRMED
S030,modules\aircraft_adapter.py,627,engage_autothrottle,control,set_autothrottle,set_autothrottle,,,,,,try/except logged,,STATIC_CONFIRMED
S031,modules\aircraft_adapter.py,459,engage_autopilot,control,set_autopilot_master,set_autopilot_master,,,,,,try/except logged,,STATIC_CONFIRMED
S032,modules\aircraft_adapter.py,511,disengage_autopilot,control,set_autopilot_master,set_autopilot_master,,,,,,try/except logged,,STATIC_CONFIRMED
S033,modules\aircraft_adapter.py,623,engage_autothrottle,control,set_autothrottle,set_autothrottle,,,,,,try/except logged,,STATIC_CONFIRMED
S034,modules\control.py,58,set_heading_hold,SimConnect,ae.event,AP_HDG_HOLD_ON,,,,,,try/except logged,,STATIC_CONFIRMED
S035,modules\control.py,68,set_altitude_hold,SimConnect,ae.event,AP_ALT_HOLD_ON,,,,,,try/except logged,,STATIC_CONFIRMED
S036,modules\control.py,100,set_airspeed_hold,SimConnect,ae.event,AP_AIRSPEED_ON,,,,,,try/except logged,,STATIC_CONFIRMED
S037,modules\control.py,110,set_vertical_speed,SimConnect,ae.event,AP_VS_HOLD,,,,,,try/except logged,,STATIC_CONFIRMED
S038,modules\control.py,111,set_vertical_speed,SimConnect,ae.event,AP_VS_VAR_SET_ENGLISH,,,,,,try/except logged,,STATIC_CONFIRMED
S039,modules\control.py,130,set_adf_frequency,SimConnect,ae.event,ADF_COMPLETE_SET,,,,,,try/except logged,,STATIC_CONFIRMED
S040,modules\control.py,150,set_flaps,SimConnect,ae.event,FLAPS_SET,,,,,,try/except logged,,STATIC_CONFIRMED
S041,modules\control.py,176,set_throttle,SimConnect,ae.event,THROTTLE_SET,,,,,,try/except logged,,STATIC_CONFIRMED
S042,modules\control.py,205,set_throttle_engine,SimConnect,ae.event,,,,,,,try/except logged,,STATIC_CONFIRMED
S043,modules\control.py,242,set_rudder,SimConnect,ae.event,RUDDER_SET,,,,,,try/except logged,,STATIC_CONFIRMED
S044,modules\control.py,262,set_aileron,SimConnect,ae.event,AILERON_SET,,,,,,try/except logged,,STATIC_CONFIRMED
S045,modules\control.py,48,set_autopilot_master,SimConnect,ae.event,AUTOPILOT_ON,,,,,,try/except logged,,STATIC_CONFIRMED
S046,modules\control.py,50,set_autopilot_master,SimConnect,ae.event,AUTOPILOT_OFF,,,,,,try/except logged,,STATIC_CONFIRMED
S047,modules\control.py,60,set_heading_hold,SimConnect,ae.event,HEADING_BUG_SET,,,,,,try/except logged,,STATIC_CONFIRMED
S048,modules\control.py,70,set_altitude_hold,SimConnect,ae.event,AP_ALT_VAR_SET_ENGLISH,,,,,,try/except logged,,STATIC_CONFIRMED
S049,modules\control.py,79,set_nav_hold,SimConnect,ae.event,AP_NAV1_HOLD_ON,,,,,,try/except logged,,STATIC_CONFIRMED
S050,modules\control.py,81,set_nav_hold,SimConnect,ae.event,AP_NAV1_HOLD_OFF,,,,,,try/except logged,,STATIC_CONFIRMED
S051,modules\control.py,90,set_approach_mode,SimConnect,ae.event,AP_APR_HOLD_ON,,,,,,try/except logged,,STATIC_CONFIRMED
S052,modules\control.py,92,set_approach_mode,SimConnect,ae.event,AP_APR_HOLD_OFF,,,,,,try/except logged,,STATIC_CONFIRMED
S053,modules\control.py,102,set_airspeed_hold,SimConnect,ae.event,AP_SPD_VAR_SET,,,,,,try/except logged,,STATIC_CONFIRMED
S054,modules\control.py,120,set_nav_frequency,SimConnect,ae.event,NAV1_RADIO_SET_HZ,,,,,,try/except logged,,STATIC_CONFIRMED
S055,modules\control.py,139,set_obs,SimConnect,ae.event,VOR1_SET,,,,,,try/except logged,,STATIC_CONFIRMED
S056,modules\control.py,159,set_gear,SimConnect,ae.event,GEAR_DOWN,,,,,,try/except logged,,STATIC_CONFIRMED
S057,modules\control.py,161,set_gear,SimConnect,ae.event,GEAR_UP,,,,,,try/except logged,,STATIC_CONFIRMED
S058,modules\control.py,122,set_nav_frequency,SimConnect,ae.event,NAV2_RADIO_SET_HZ,,,,,,try/except logged,,STATIC_CONFIRMED
S059,modules\control.py,141,set_obs,SimConnect,ae.event,VOR2_SET,,,,,,try/except logged,,STATIC_CONFIRMED
S060,main.py,452,execute_go_around,control,set_gear,set_gear,,,,,,try/except logged,,STATIC_CONFIRMED
S061,main.py,349,start_approach,control,set_nav_frequency,set_nav_frequency,,,,,,try/except logged,,STATIC_CONFIRMED
S062,main.py,369,start_approach,control,set_autopilot_master,set_autopilot_master,,,,,,try/except logged,,STATIC_CONFIRMED
S063,main.py,370,start_approach,control,set_airspeed_hold,set_airspeed_hold,,,,,,try/except logged,,STATIC_CONFIRMED
S064,main.py,436,execute_go_around,control,set_autopilot_master,set_autopilot_master,,,,,,try/except logged,,STATIC_CONFIRMED
S065,main.py,445,execute_go_around,control,set_vertical_speed,set_vertical_speed,,,,,,try/except logged,,STATIC_CONFIRMED
S066,main.py,448,execute_go_around,control,set_flaps,set_flaps,,,,,,try/except logged,,STATIC_CONFIRMED
S067,main.py,352,start_approach,control,set_nav_frequency,set_nav_frequency,,,,,,try/except logged,,STATIC_CONFIRMED
S068,main.py,440,execute_go_around,vjoy_throttle,set_throttle,set_throttle,,,,,,try/except logged,,STATIC_CONFIRMED
S069,main.py,442,execute_go_around,control,set_throttle,set_throttle,,,,,,try/except logged,,STATIC_CONFIRMED
S070,main.py,355,start_approach,control,set_nav_frequency,set_nav_frequency,,,,,,try/except logged,,STATIC_CONFIRMED
S071,main.py,356,start_approach,control,set_obs,set_obs,,,,,,try/except logged,,STATIC_CONFIRMED
S072,main.py,358,start_approach,control,set_adf_frequency,set_adf_frequency,,,,,,try/except logged,,STATIC_CONFIRMED
